ID_3,EventID,StationID,Stream_3,Units_3,Magnitude_3,Country_3,Depth_3,VS30_3,EpicentralDistance_3,MainPGA_3,MainPGV_3,MainPGD_3,MainMaxFrequency_3,MainMaxDI_3,MainMaxRI_3,MainMaxMMI_3,MainMaxMMI_PGA_3,MainMaxMMI_PGV_3,HVSR_3,MainHousnerIntensity_3,TrainPGA_3,TrainPGV_3,TrainPGD_3,TrainMaxFrequency_3,TrainMaxDI_3,TrainMaxRI_3,TrainMaxMMI_3,TrainMaxMMI_PGA_3,TrainMaxMMI_PGV_3,TrainHousnerIntensity_3,ID_4,Stream_4,Units_4,Magnitude_4,Country_4,Depth_4,VS30_4,EpicentralDistance_4,MainPGA_4,MainPGV_4,MainPGD_4,MainMaxFrequency_4,MainMaxDI_4,MainMaxRI_4,MainMaxMMI_4,MainMaxMMI_PGA_4,MainMaxMMI_PGV_4,HVSR_4,MainHousnerIntensity_4,TrainPGA_4,TrainPGV_4,TrainPGD_4,TrainMaxFrequency_4,TrainMaxDI_4,TrainMaxRI_4,TrainMaxMMI_4,TrainMaxMMI_PGA_4,TrainMaxMMI_PGV_4,TrainHousnerIntensity_4,TrainMaxDI,TrainMaxRI,TrainMaxMMI,MainMaxDI,MainMaxRI,MainMaxMMI,MainMaxMMI_PGA
155374620-3,15537,4620,3.0,cm/s^2,7.6,Turkey,7.0,484.0,63.46,56.173268412340185,12.673952934708954,6.532837351144416,0.5237596419388629,2.612001416097093,5.0120014160970925,8.37600222529543,6.927173330755499,7.459638470687814,0.456360014473132,4.4169567868289565,7.927931486432355,0.5127094103667206,0.2187098335537415,3.193612774451098,0.3207219769785254,2.7207219769785254,4.7754202495376825,3.624337006155268,1.4138413926874278,0.1322814169440252,155374620-4,,,7.6,Turkey,7.0,484.0,63.46,73.64677420633045,20.283445788824377,18.60393164509845,0.2390229577756619,2.959754598405953,5.359754598405953,8.922471511780783,7.588335781796598,8.460042678871913,,,9.513112570061471,1.8761572496797447,1.65686713867218,0.7984031936127745,1.0943138021341938,3.4943138021341937,5.991064546210875,4.160407415883282,4.363095658877857,,1.0943138021341938,3.4943138021341937,5.991064546210875,2.959754598405953,5.359754598405953,8.922471511780783,7.588335781796598
155374624-3,15537,4624,3.0,cm/s^2,7.6,Turkey,7.0,280.0,67.65,38.44474143850252,7.281350710235491,5.906030428412227,0.5047138367774497,2.15952761130562,4.55952761130562,7.664971960623117,6.28750669199724,6.414999861204963,0.9800429368468342,2.9695761011528945,10.097818394308774,0.5924043562982915,0.3217816494060064,0.998003992015968,0.4289694364889207,2.8289694364889204,4.945523400196874,4.032419826715929,1.68616317672115,0.2051409390228981,155374624-4,,,7.6,Turkey,7.0,280.0,67.65,70.18839181747583,16.634670003719382,12.105020607719943,0.4946412308626055,2.858023837695041,5.258023837695042,8.762608887806493,7.485435098545473,7.989170920972401,,,9.924336990372192,1.4461782721077745,3.3574537711651584,1.411390780811472,1.0313585695449643,3.4313585695449644,5.89213489499923,4.032999386715601,3.921223813596094,,1.0313585695449643,3.4313585695449644,5.89213489499923,2.858023837695041,5.258023837695042,8.762608887806493,7.485435098545473
12633NAR-3,12633,NAR,3.0,cm/s^2,5.0,Turkey,24.5,653.0,79.02,11.028125731556289,0.1552733301001305,0.0380833038592908,10.328888888888889,0.0,2.221585355232852,3.991062701080196,4.181076637170323,-0.837639595975364,1.0719067980003711,0.0411907864464583,1.4444745060698343,0.0154670828416286,0.0077905665013065,11.377245508982035,0.0,0.5022400512678653,1.289234366278074,0.7523131788309246,-5.184967493591682,0.0023184697010769,12633NAR-4,,,5.0,Turkey,24.5,653.0,79.02,12.850409205834968,0.2324101047698898,0.043490786323221,11.0716062157905,0.4273771465665358,2.827377146566536,4.943021230318841,4.843197615639639,0.4283666380761657,,,2.745256356719461,0.0409328780553863,0.0096025197207343,13.295570845014682,0.0,1.342602775716908,2.6098043618408555,2.106420038778314,-3.069256873195913,,0.0,1.342602775716908,2.6098043618408555,0.4273771465665358,2.827377146566536,4.943021230318841,4.843197615639639
139130118-3,13913,118,3.0,cm/s^2,4.6,Turkey,11.44,942.0,112.38,1.1044283359440072,0.0444059393997452,0.0733362594255428,3.824,0.0,0.760396741529999,1.694909165261427,0.2995462079106146,-3.1971057912804026,1.9896574370464315,0.0113200223023097,1.1044283359440072,0.0570392518881293,0.0631890235578593,3.193612774451098,0.0,0.921040785330482,1.947349805519329,0.2995462079106146,-2.725205617777383,0.0086179032595421,13913118-4,,,4.6,Turkey,11.44,942.0,112.38,1.0815431196259289,0.0905297935866764,0.0560104411866979,7.608450039265553,0.0,1.3780588393477675,2.6655210332607777,0.6722749870316099,-1.3830097832586263,,,,,,,,,,,,,,,,0.0,1.3780588393477675,2.6655210332607777,0.6722749870316099
139130120-3,13913,120,3.0,cm/s^2,4.6,Turkey,11.44,439.0,71.79,1.2540133616145996,0.0662439591171081,0.2729191285876898,4.685714285714286,0.0,1.0009092811005893,2.0728574417294974,0.5138056048301971,-2.4432251427618388,0.9472264357322052,0.0188637115891697,1.2540133616145996,0.0524035241916299,0.1352303055846964,4.590818363273453,0.0,0.8367052658121734,1.8148225605619868,0.5138056048301971,-2.884975452904344,0.0087187680755854,13913120-4,,,4.6,Turkey,11.44,439.0,71.79,3.17888351816136,0.1283192076429925,0.083257461596844,4.4384324417166185,0.0,1.741374071811245,3.236444969989099,2.149679899070686,-1.1165086669001605,,,3.17888351816136,0.1290475802734904,0.0331549078764237,3.992015968063872,0.0,1.7725049658562329,3.285364946345509,2.149679899070686,-1.13345215335677,,0.0,1.7725049658562329,3.285364946345509,0.0,1.741374071811245,3.236444969989099,2.149679899070686
155372704-3,15537,2704,3.0,cm/s^2,7.6,Turkey,7.0,721.0,129.97,23.182197556739805,5.8672427160844585,6.756624225360025,0.2959763218942484,1.9111994970540247,4.311199497054025,7.274742066799182,5.4342604762283,6.008003796448283,1.395495204694658,1.419034255687644,12.993878446763754,2.256918157693858,1.7301031954662474,1.3972055888223551,1.183992009047988,3.583992009047988,6.131987442789695,4.457761498321301,4.207258618019221,0.6391869558897424,155372704-4,,,7.6,Turkey,7.0,721.0,129.97,47.54688219127063,10.17564033753908,8.776067331181636,0.4130335379065861,2.607402283806477,5.007402283806478,8.36877501741018,7.203363503973965,7.539881216822278,,,12.956526972482164,1.4064640284904917,0.9957963853938554,1.6215645518235449,1.1522647505887509,3.5522647505887504,6.08213032235375,4.647410005416294,4.096861363889298,,1.183992009047988,3.583992009047988,6.131987442789695,2.607402283806477,5.007402283806478,8.36877501741018,7.203363503973965
158984408-3,15898,4408,3.0,cm/s^2,4.3,Turkey,11.07,655.0,24.65,2.9735195219736643,0.0886640031721561,0.0297939856447682,12.714285714285715,0.0,1.4810953739291464,2.8274355876029444,1.97018376431315,-1.89377656278128,0.5403278249595921,0.0277875229124738,2.9735195219736643,0.1139470025793775,0.1226472004730626,11.57684630738523,0.0,1.4659295916796056,2.803603644067952,1.97018376431315,-1.4209093906513963,0.0214330767267894,158984408-4,,,4.3,Turkey,11.07,655.0,24.65,5.285689023106715,0.1542234425842342,0.0830325115608078,6.869882345914814,0.0,2.188218563633802,3.938629171424546,3.090163590625901,-0.3925138993330979,,,5.285689023106715,0.1569755340365865,0.0476218672286791,6.480113006286597,0.0,2.208758977007488,3.970906963868909,3.090163590625901,-0.3186212133096324,,0.0,2.208758977007488,3.970906963868909,0.0,2.188218563633802,3.938629171424546,3.090163590625901
158984409-3,15898,4409,3.0,cm/s^2,4.3,Turkey,11.07,809.0,40.63,1.9194337218013584,0.0779025259356098,0.0222056291928959,3.542857142857143,0.0,1.3514767749539556,2.623749217784787,1.2318443999809254,-2.13766631813796,0.924668665053492,0.0150772048926438,1.9194337218013584,0.0823154324114969,0.0236072492990459,3.592814371257485,0.0,1.377946081921621,2.66534384301969,1.2318443999809254,-2.033811314576213,0.01577345018628,158984409-4,,,4.3,Turkey,11.07,809.0,40.63,3.583754448005553,0.0746245961021288,0.0398788232385205,3.275968984760944,0.0,1.635074048925067,3.0694020768822483,2.303849891646675,-2.045920011074532,,,3.583754448005553,0.0961538001782116,0.0409313970589708,8.748346108108235,0.0,1.866449048659437,3.432991362179115,2.303849891646675,-1.0886570674913396,,0.0,1.866449048659437,3.432991362179115,0.0,1.635074048925067,3.0694020768822483,2.303849891646675
158984410-3,15898,4410,3.0,cm/s^2,4.3,Turkey,11.07,623.0,62.94,1.54188130847012,0.039041404659139,0.0847987856853687,14.104761904761906,0.0,0.9722901128008944,2.027884462972834,0.862389865387737,-3.4397796137130383,0.6344030766876902,0.0105057258669397,1.26520750728697,0.023280570568718,0.0080173961541325,15.5688622754491,0.0,0.6184162062630083,1.4717968955561558,0.5287962766122034,-4.414247689391343,0.0037092006652553,158984410-4,,,4.3,Turkey,11.07,623.0,62.94,4.321199422619613,0.101013896018832,0.0141009827127307,8.948104348328279,0.0,1.8143203246897184,3.351074795940986,2.603784569380611,-1.5971626009963795,,,1.173291628368646,0.0247403049875704,0.0334904573639013,10.144355895866717,0.0,0.6199334671637389,1.4741811626858754,0.4315127187527318,-4.274516721567363,,0.0,0.6199334671637389,1.4741811626858754,0.0,1.8143203246897184,3.351074795940986,2.603784569380611
155383125-3,15538,3125,3.0,cm/s^2,6.4,Turkey,21.73,448.0,24.5,420.4623637757253,12.886046431086664,7.803548315905049,1.895238095238096,3.5041641735900297,5.904164173590029,9.777972272784332,10.322556163270274,7.490919462697835,1.0937702802341942,6.548398972664755,292.66614902494644,13.4849502058073,7.746902143134877,3.393213572854292,3.539737106682826,5.939737106682825,9.833872596215867,9.711390762990142,7.576546166530475,3.0232991426603606,155383125-4,,,6.4,Turkey,21.73,448.0,24.5,776.9603108083495,36.71189374219015,15.39197328323262,2.072955102539092,4.215710126216108,6.615710126216108,10.896115912625312,11.448733846123147,9.692259099935132,,,618.5930252078439,26.066347303427168,11.945748512766064,3.4801588371582226,3.9486468474697296,6.3486468474697295,10.47644504602386,11.104202576280567,8.936451662543229,,3.9486468474697296,6.3486468474697295,10.47644504602386,4.215710126216108,6.615710126216108,10.896115912625312,11.448733846123147
