EventID;EventDate;EpicenterAgency;EpicenterLon;EpicenterLat;Type;Magnitude;Depth;Location;Code;Longitude;Latitude;Province;District;PGA_NS;PGA_EW;PGA_UD;Repi
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);3425;29.027277;41.134497;İstanbul;Sarıyer;32.79323935;48.43035778;14.01434977;72.44203118
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);1633;28.36262;40.21397;Bursa;Karacabey;12.41240833;33.06922093;9.926760271;72.52614053
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);3438;29.115607;40.979632;İstanbul;Ataşehir;28.1341236;29.09733624;18.8429984;74.39569755
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);7707;29.0788;40.6381;Yalova;Çınarcık;38.77097056;42.05434298;15.83890659;74.49014115
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);7715;28.97072;40.46296;Yalova;Armutlu;53.85676273;46.63632844;20.14979871;75.5115655
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);3405;29.15668;40.91111;İstanbul;Kartal;17.11154178;21.71424584;8.054272367;76.89778288
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);3436;29.098545;41.125952;İstanbul;Beykoz;51.9335538;49.27618486;25.03832605;77.54393422
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);3430;29.165163;41.015572;İstanbul;Ümraniye;60.69956161;46.70000031;16.44301884;79.25045019
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);1618;28.92815;40.35095;Bursa;Mudanya;20.75045724;19.12080782;8.340130891;80.84167405
658148;23-04-2025  09:49;AFAD;28.22639;40.85361;MW;6.2;4.91;Marmara Denizi - [23.16 km] Silivri (İstanbul);1637;29.094628;40.47632;Bursa;Gemlik;30.82250009;34.54661862;23.93479372;83.43714883
